0007922582	1,1,0
0008288194	1,166,0
0028179714	1,13,0
0060501960	0,162,0
0063052164	2,64,0
0072826843	1,72,0
007876355X	3,139,0
0078764343	1,91,0
0099428121	1,139,0
0143130838	1,81849,0
0152049495	1,831,0
0156031191	0,1901,0
0237529564	1,1,0
0241520789	1,61,0
0241529719	0,8962,0
0241652464	1,51,0
0241988241	1,72321,1
0261102400	1,1,0
0310493099	1,363,0
0312063652	1,5,0
0316299936	1,151,0
0316355887	0,6447,0
0340961902	1,1,0
0345339258	1,2654,0
0349435286	1,12480,0
0354047590	1,17,0
0375869026	1,83449,3
0385522045	1,439,0
0385528191	1,6925,0
0399218858	1,2154,1
0399588175	1,102896,1
043908069X	1,160,0
0439335299	1,1,0
0439335310	1,1,0
0439339006	4,15,0
0439339960	2,7,0
0439339987	1,13,0
0439342260	1,2,0
0439374391	1,1,0
0439380677	1,1,0
0439381665	1,4,0
0439381673	1,76,0
0439384974	1,10,0
0439394422	1,2,0
043940133X	1,10,0
0439542804	7,25,0
0439573947	3,7,0
0439574447	1,2,0
043957448X	1,10,0
0439591287	10,474,0
0439591368	1,54,0
0439591538	3,14,0
0439591570	1,1,0
0439651158	1,2,0
0439671418	2,9,0
0439674492	1,33,0
0439704405	9,60,0
0439715571	1,2,0
0439760593	1,1,0
0439773660	1,4,0
0439801508	1,3,0
043981538X	1,1,0
0439862108	1,1,0
0439905419	2,2,0
0439922593	2,2,0
0538966610	1,40,0
0545036372	3,3,0
0545071852	2,4,0
0545076412	0,3,0
0545109744	1,6,0
0545110084	3,3,0
0545112141	1,3,0
0545115507	2,3,0
0545214912	1,276,0
0545540860	2,11,0
0545795877	2,9,0
0547978847	1,164,0
0552991228	0,4513,0
057809116X	1,114,0
0578535033	2,61,1
0578762978	4,67,0
0578770873	11,88,0
0615539866	1,95,0
0620201444	1,361,0
0648767019	1,38,0
0662476565	4,35,0
0669524115	1,39,0
0669524425	2,17,0
0669527378	1,2,0
0671317091	3,4,0
0671576658	2,3,0
0692327118	6,73,0
0692681663	2,140,0
0692858237	1,194,0
0700026355	9,3,0
0700026398	1,43,0
0700026657	2,73,0
0700026673	6,15,0
0700026711	6,13,0
0700099867	1,102,0
0700099875	9,3,0
0700099956	9,36,0
0700099964	9,3,0
0709075332	1,34,0
0709150652	1,1,0
0738205893	0,30,0
0739421344	2,3,0
0739444611	1,61,0
0739459112	1,2952,0
0739476513	3,8,0
0743508483	1,15,0
0744014298	1,216,0
0744018706	1,671,0
075131126X	1,1,0
0756645999	2,70,0
0757754783	1,31,0
0758534531	2,14,0
0760759812	1,25,0
0761174427	1,505,0
0761545220	1,5,0
0761547096	1,20,0
0763003093	1,8,0
0763030945	3,2,0
0767736680	1,1,0
0782528023	1,13,0
0784506086	2,3,0
0784545766	1,4,0
0784909334	2,1,0
0784930724	5,4,0
0784930805	9,8,3
0786967234	1,159,1
0786968346	1,132,1
0786968990	2,4,0
0788853880	1,3,0
0788858998	1,6,0
0788859765	1,4,0
0788870602	1,1,0
0792845730	1,7152,0
0794535666	1,5,0
0804108536	0,1039,0
0810940566	1,29,0
0828004439	1,17,0
0857443410	1,36,0
0857443429	1,36,0
085744350X	2,9,0
0860982718	5,36,0
0870708988	1,75,0
0871771128	2,4,0
0871771160	1,32,0
0871771209	1,2,0
0871771217	2,2,0
0871772973	1,1,0
0871773732	1,1,0
0871774828	2,7,0
0871775603	5,2,0
0873212533	3,7,0
0875084311	1,2,0
0880293594	1,60,0
0882640062	1,43,0
0894556908	1,4,0
0894557858	1,5,0
0910293023	1,164,0
0910692343	1,10597,0
0911218459	9,15,0
0912771925	1,1,0
0916211487	1,42,0
0917059727	1,9,0
0963469169	2,1,0
0970154097	7,3,0
0971138494	1,9616,0
0975359339	1,11,0
0976054817	1,1,0
0979987717	1,15,0
0983196354	1,26,0
0984529527	1,2,0
0984987134	1,87,0
0988290014	1,70,0
0988668157	2,10,0
098983641X	3,101,0
0992276055	1,403,0
0996504915	9,612,0
0997130482	1,94,0
0997259078	1,38,1
1309485194	1,35,0
1328905144	1,1208,0
1338718568	1,16,0
1338769375	9,2589,0
1338796348	8,2569,0
1338806521	7,44,0
1338845748	7,62,0
1338857487	9,2805,0
1398500461	1,10915,0
1398504106	0,4217,0
1398505935	1,103,0
139850825X	1,295,0
139851635X	1,40,0
139852011X	1,8,0
1398717231	1,78,0
1399601253	7,10,0
1402725000	1,309,0
1403779562	7,4,0
1405297719	0,2300,0
1406393452	3,287,0
140951904X	1,255,0
1414311583	1,22,0
1416954287	2,5,0
1418516805	1,18,0
1419735101	2,427,0
1435120140	1,2,0
1435209842	2,56,0
1435284542	3,8,0
1435298985	3,3,0
1438011032	1,181,0
1439555397	3,33,0
143956535X	3,1,0
1447262425	1,15924,0
1465461876	1,481,0
1469409062	1,16,0
1471197573	4,379,0
1471413624	1,2996,0
1472822226	7,47,2
1473205352	1,511,0
1474948049	3,196,0
1474989136	1,120,0
1478859113	1,264,0
1495100790	9,167,0
1510109188	0,13589,0
1524101036	1,811,0
1524797316	1,7,0
1529110947	1,99901,0
1529380979	1,6565,0
1551927063	1,76185,0
1553797485	1,12,0
1557556741	2,4,0
1558780718	2,2,0
1558843477	1,1,0
155940650X	1,2,0
1563712318	1,12,0
1565336038	1,132,0
1568382820	1,189,0
1572310324	0,2,0
157260008X	1,1,0
1572641517	1,1,0
1572644516	1,1,0
1574571907	1,2,0
1575950715	1,1,0
1577345673	1,2,0
157859314X	1,1,0
1589782151	1,5,0
1589935012	1,93,0
1589942914	1,5,0
1589944119	1,5,0
1589944607	4,247,10
1589947851	1,26,0
1589949722	7,36,3
1589970705	1,543,0
1597461253	8,1,0
1601140320	1,79,0
1605740187	1,92,0
1608836053	2,6,0
1610676238	1,163,0
1613170483	2,27,0
1613170785	3,11,0
1616558326	1,12,0
1616611715	4,430,10
1616611898	5,857,9
1616613386	4,32,0
1616614765	1,8,0
1616615435	1,12,0
1616615931	2,690,1
1616615990	1,25,0
1616616555	4,7,0
1616616563	3,16,0
1616616806	1,91,1
1616616830	2,137,1
1616616849	2,11,0
1616616873	3,111,1
1616617101	1,32,0
1616617632	4,50,0
1616618698	1,1,0
1616619511	1,23,0
1616619589	1,4,0
1617683175	4,492,0
1617935204	1,4,0
1618945157	5,33,0
162283206X	1,1,0
1623413133	1,64,0
1625040598	6,76,0
1626547203	1,3602,0
1627632646	3,10,0
1633440001	1,352,3
1633440680	2,147,1
1633441180	4,340,3
163344189X	1,82,1
1633442225	1,13,0
1633442233	1,106,0
1633443116	1,118,1
1633443124	2,41,0
1633443256	6,113,10
1633443264	3,131,0
1633443639	3,85,0
1633443655	4,178,8
1635653843	1,29,3
1638610223	1,21,0
1638610355	2,13,0
163884013X	5,15,0
1638840415	5,5,0
163884111X	6,3,0
164078148X	3,137,0
164078232X	1,206,0
1640782826	1,49,0
1640783016	1,63,0
1640783725	1,20,0
1640784063	0,12,0
1640784101	1,103,0
1680260545	2,110,0
1682614093	1,15,0
1728261708	0,27243,0
1732239908	1,134,0
1732702632	4,61,0
1732917124	1,64,0
1734089504	9,81,0
1735993808	5,35,0
1736648608	2,136,0
1737172151	2,5,0
174383294X	1,1,0
1743834950	1,10,0
1743836031	2,2,0
1743836473	1,108,0
1760277924	2,35,0
176066068X	1,4151,0
1760666734	1,2,0
1760669172	1,27,0
1760974668	1,8457,0
1770947841	8,309,0
1772940305	3,39,0
1775070735	2,141,1
1775435970	1,60,0
1781257027	1,18764,0
1782536124	1,16,0
1782537473	1,33,0
1782539069	2,5,0
1782539115	2,4,0
1785244434	3,8,0
1785818643	1,127,0
1786276976	1,41,7
1788260058	1,155,0
1788260171	1,178,0
1788262689	1,314,0
1788263332	2,161,0
1788263405	0,135,0
1788263731	4,31,0
178826388X	2,97,0
1788264673	0,217,0
1788264851	1,179,0
1788265092	1,91,0
1788267710	1,140,0
1788268067	1,118,0
178826813X	1,59,0
1788269667	1,92,0
1802810161	9,66,0
1839060697	1,717,0
1839061057	1,95,0
1839061138	1,232,0
1839061898	1,93,0
1839063475	1,236,0
1839064218	1,202,0
183906434X	3,14,0
1839065362	1,109,0
1839065435	3,24,0
1839065850	1,27,0
1839066377	2,4,0
1839067349	1,19,0
1839067772	1,10,0
1839068817	1,8,0
1844085171	1,131,0
1845355210	1,161,0
1845355539	2,120,0
1845358155	1,18266,0
1845358600	3,325,0
1845358635	3,952,0
1856480844	3,25,0
186209358X	1,2,0
1862302332	1,5,0
1864502517	1,11,0
1873544774	2,2,0
1877845175	6,89,0
187800218X	9,1,0
1881622185	1,4,0
1886846766	1,6,0
1886846774	2,5,0
1887840044	1,4,0
1888208600	2,12,0
1888449004	2,2,0
1893018067	2,7,0
189435320X	9,1,0
1894353226	1,4,0
1900869209	1,3,0
1907964177	1,1,0
1908983213	1,17,0
1908983531	1,1,0
1909602191	2,1526,0
1910132187	6,82,0
1910132721	5,70,2
191013287X	2,132,0
1910132896	4,124,0
1910458325	2,1,0
1911015109	1,517,0
1912200163	1,11,0
1912200201	5,20,0
1912743469	4,60,0
1912743698	1,64,0
1912743752	9,4,0
1912743930	6,10,0
1912803054	3,37,0
1912803097	3,84,0
1913695468	1,5163,0
1914568257	1,404,0
1916302386	1,370,0
1926902521	1,1,0
1928980821	1,146,0
1929854501	6,813,0
1933238968	3,2,0
1933477490	1,75,0
1933748680	1,22,0
1934251224	1,63,0
1935369148	3,18,0
1935575287	1,20,0
1936781832	2,243,0
1936781913	1,9,0
1936822873	1,3,0
1936837315	1,2,0
1936920360	1,22,0
193770243X	1,123,0
1937843319	3,188,1
1940825075	1,4,0
1941582176	0,9,0
1941582389	2,16,0
194181610X	1,16,0
1941816274	1,13,0
1941816800	2,5,0
1942487819	2,7,0
1944462066	2,100,0
1945428007	6,61,1
1945625937	4,406,0
1946178101	8,115,0
1946506303	1,62,0
1946506516	1,59,0
1947335375	1,22,0
194828524X	5,3,0
1949238326	2,218,0
1950568113	1,7,0
1950789306	1,144,0
1950789314	1,91,1
1950789349	0,32,0
195078939X	0,123,0
1954001088	5,108,0
195496904X	5,107,0
1956449124	6,5,0
197480979X	4,13,0
1974810550	1,7726,0
1974816117	1,2144,0
1987916085	1,4,0
1999951409	1,2,0
2363284224	1,4,0
2742964207	7,11,0
2924006066	1,12,0
3129081909	1,2,0
3453238869	2,272,0
3473651559	1,21,0
381409011X	2,235,0
3815864844	1,7,0
3828770193	9,34,1
3841907946	9,102,0
3866810067	2,8,0
3866810342	1,2,0
3866810563	0,1,0
3866811047	1,3,0
3866811365	1,1,0
3866811632	1,2,0
3866811659	1,4,0
3866811713	1,3,0
3866813465	1,9,0
3866814429	1,9,0
3866816316	1,19,0
3898746917	4,8,0
3899565630	1,9,0
3929510901	1,1,0
3936336512	1,9,0
3937549064	1,8,0
396331043X	1,6,0
4041100445	1,49,0
4046046988	7,187,0
4046055707	8,743,0
404735886X	5,495,0
4062028247	1,7,0
406276640X	1,203,0
4063366081	3,1491,0
4063881016	2,9876,0
4065212448	1,783,0
4198647682	6,264,0
4403671217	3,63,0
4591153320	1,737,0
4795838135	1,36,0
479861582X	11,211,0
480022229X	7,81,0
4816351043	2,44,0
4832248472	3,54,0
4864423415	1,1931,0
487217903X	1,202,0
5040400284	2,5,0
5293009893	2,34,0
5542134653	3,15,0
5553288924	2,1,0
5555629524	3,4,0
5900901017	1,2,0
6055420740	1,6,0
6075691251	3,11835,0
6257266998	1,37,0
6300156451	1,276,0
630146561X	1,3205,0
630255943X	1,10302,0
6302768802	1,361,0
6302786924	1,491,0
6303154751	1,15481,0
6304202377	1,136,0
6304911750	1,372,0
6305365121	1,2330,0
6305963444	1,27534,0
6555871784	1,19351,0
6580506059	8,1054,0
658617502X	2,44,0
6588732120	1,6881,0
6819903650	2,29,0
7041947432	5,237,0
7100027950	1,1416,0
7108019833	1,1,0
7118021156	2,830,0
7293000642	1,3,0
7293000952	4,1,0
7293000960	1,35,0
730906478X	3,1,0
7505728083	5,10,0
7532466388	1,1,0
7537823413	1,5,0
7539908920	3,7,0
7542614444	1,2,0
7561321074	4,28,0
7800286169	1,1397,0
8172319258	9,1329,0
8380085868	1,21,0
8394078354	1,39,0
8418788380	1,53,0
8418788526	1,26,0
848083563X	8,44,0
8532522610	2,5982,0
8532604919	1,4240,0
8537631191	7,1927,1
8560960058	2,3300,0
8565000168	1,93,0
857325534X	1,1389,0
