0007922582	1,1
0008288194	0,166
0028179714	1,13
0060501960	30,162
0063052164	1,64
0072826843	0,72
007876355X	1,139
0078764343	1,91
0099428121	1,139
0143130838	71,81849
0152049495	12,831
0156031191	10,1901
0237529564	1,1
0241520789	1,61
0241529719	0,8962
0241652464	1,51
0241988241	0,72321
0261102400	17,1
0310493099	6,363
0312063652	5,5
0316299936	3,151
0316355887	47,6447
0340961902	1,1
0345339258	10,2654
0349435286	0,12480
0354047590	1,17
0375869026	114,83449
0385522045	44,439
0385528191	42,6925
0399218858	25,2154
0399588175	58,102896
043908069X	0,160
0439335299	0,1
0439335310	3,1
0439339006	1,15
0439339960	1,7
0439339987	1,13
0439342260	1,2
0439374391	1,1
0439380677	0,1
0439381665	1,4
0439381673	1,76
0439384974	0,10
0439394422	1,2
043940133X	1,10
0439542804	4,25
0439573947	1,7
0439574447	1,2
043957448X	1,10
0439591287	0,474
0439591368	1,54
0439591538	1,14
0439591570	0,1
0439651158	1,2
0439671418	1,9
0439674492	1,33
0439704405	1,60
0439715571	1,2
0439760593	0,1
0439773660	1,4
0439801508	0,3
043981538X	1,1
0439862108	1,1
0439905419	1,2
0439922593	1,2
0538966610	1,40
0545036372	0,3
0545071852	1,4
0545076412	0,3
0545109744	0,6
0545110084	1,3
0545112141	1,3
0545115507	0,3
0545214912	8,276
0545540860	1,11
0545795877	0,9
0547978847	18,164
0552991228	0,4513
057809116X	0,114
0578535033	1,61
0578762978	0,67
0578770873	1,88
0615539866	1,95
0620201444	1,361
0648767019	0,38
0662476565	0,35
0669524115	1,39
0669524425	1,17
0669527378	1,2
0671317091	1,4
0671576658	1,3
0692327118	1,73
0692681663	1,140
0692858237	1,194
0700026355	1,3
0700026398	1,43
0700026657	1,73
0700026673	1,15
0700026711	1,13
0700099867	1,102
0700099875	1,3
0700099956	1,36
0700099964	1,3
0709075332	1,34
0709150652	1,1
0738205893	3,30
0739421344	1,3
0739444611	1,61
0739459112	1,2952
0739476513	1,8
0743508483	24,15
0744014298	3,216
0744018706	0,671
075131126X	0,1
0756645999	1,70
0757754783	1,31
0758534531	1,14
0760759812	1,25
0761174427	6,505
0761545220	0,5
0761547096	5,20
0763003093	1,8
0763030945	1,2
0767736680	1,1
0782528023	1,13
0784506086	0,3
0784545766	0,4
0784909334	1,1
0784930724	1,4
0784930805	1,8
0786967234	0,159
0786968346	1,132
0786968990	1,4
0788853880	1,3
0788858998	1,6
0788859765	0,4
0788870602	0,1
0792845730	1,7152
0794535666	1,5
0804108536	10,1039
0810940566	16,29
0828004439	1,17
0857443410	0,36
0857443429	1,36
085744350X	1,9
0860982718	1,36
0870708988	1,75
0871771128	1,4
0871771160	1,32
0871771209	0,2
0871771217	1,2
0871772973	0,1
0871773732	1,1
0871774828	1,7
0871775603	1,2
0873212533	16,7
0875084311	1,2
0880293594	1,60
0882640062	1,43
0894556908	1,4
0894557858	1,5
0910293023	7,164
0910692343	0,10597
0911218459	1,15
0912771925	1,1
0916211487	0,42
0917059727	0,9
0963469169	1,1
0970154097	3,3
0971138494	1,9616
0975359339	1,11
0976054817	0,1
0979987717	1,15
0983196354	1,26
0984529527	1,2
0984987134	1,87
0988290014	1,70
0988668157	0,10
098983641X	1,101
0992276055	1,403
0996504915	1,612
0997130482	1,94
0997259078	1,38
1309485194	1,35
1328905144	11,1208
1338718568	1,16
1338769375	1,2589
1338796348	1,2569
1338806521	1,44
1338845748	1,62
1338857487	1,2805
1398500461	1,10915
1398504106	0,4217
1398505935	1,103
139850825X	1,295
139851635X	1,40
139852011X	1,8
1398717231	1,78
1399601253	9,10
1402725000	0,309
1403779562	0,4
1405297719	0,2300
1406393452	1,287
140951904X	0,255
1414311583	44,22
1416954287	1,5
1418516805	18,18
1419735101	15,427
1435120140	1,2
1435209842	1,56
1435284542	1,8
1435298985	1,3
1438011032	15,181
1439555397	1,33
143956535X	1,1
1447262425	79,15924
1465461876	0,481
1469409062	0,16
1471197573	1,379
1471413624	0,2996
1472822226	44,47
1473205352	17,511
1474948049	1,196
1474989136	1,120
1478859113	0,264
1495100790	1,167
1510109188	0,13589
1524101036	2,811
1524797316	0,7
1529110947	0,99901
1529380979	0,6565
1551927063	0,76185
1553797485	160,12
1557556741	1,4
1558780718	1,2
1558843477	1,1
155940650X	0,2
1563712318	0,12
1565336038	1,132
1568382820	2,189
1572310324	0,2
157260008X	1,1
1572641517	0,1
1572644516	0,1
1574571907	1,2
1575950715	0,1
1577345673	0,2
157859314X	1,1
1589782151	1,5
1589935012	1,93
1589942914	4,5
1589944119	2,5
1589944607	2,247
1589947851	1,26
1589949722	1,36
1589970705	14,543
1597461253	0,1
1601140320	1,79
1605740187	0,92
1608836053	1,6
1610676238	1,163
1613170483	1,27
1613170785	1,11
1616558326	1,12
1616611715	4,430
1616611898	5,857
1616613386	0,32
1616614765	2,8
1616615435	0,12
1616615931	1,690
1616615990	2,25
1616616555	2,7
1616616563	0,16
1616616806	2,91
1616616830	2,137
1616616849	2,11
1616616873	2,111
1616617101	2,32
1616617632	2,50
1616618698	0,1
1616619511	1,23
1616619589	1,4
1617683175	2,492
1617935204	1,4
1618945157	1,33
162283206X	1,1
1623413133	1,64
1625040598	1,76
1626547203	0,3602
1627632646	1,10
1633440001	1,352
1633440680	1,147
1633441180	1,340
163344189X	1,82
1633442225	1,13
1633442233	0,106
1633443116	1,118
1633443124	1,41
1633443256	1,113
1633443264	1,131
1633443639	1,85
1633443655	1,178
1635653843	0,29
1638610223	1,21
1638610355	1,13
163884013X	1,15
1638840415	0,5
163884111X	1,3
164078148X	1,137
164078232X	1,206
1640782826	1,49
1640783016	1,63
1640783725	0,20
1640784063	0,12
1640784101	1,103
1680260545	1,110
1682614093	4,15
1728261708	0,27243
1732239908	1,134
1732702632	1,61
1732917124	1,64
1734089504	1,81
1735993808	1,35
1736648608	1,136
1737172151	1,5
174383294X	1,1
1743834950	0,10
1743836031	1,2
1743836473	0,108
1760277924	1,35
176066068X	1,4151
1760666734	1,2
1760669172	1,27
1760974668	0,8457
1770947841	1,309
1772940305	1,39
1775070735	1,141
1775435970	0,60
1781257027	0,18764
1782536124	1,16
1782537473	1,33
1782539069	1,5
1782539115	1,4
1785244434	0,8
1785818643	1,127
1786276976	5,41
1788260058	3,155
1788260171	0,178
1788262689	1,314
1788263332	1,161
1788263405	0,135
1788263731	1,31
178826388X	6,97
1788264673	0,217
1788264851	3,179
1788265092	1,91
1788267710	1,140
1788268067	1,118
178826813X	1,59
1788269667	7,92
1802810161	1,66
1839060697	1,717
1839061057	1,95
1839061138	1,232
1839061898	1,93
1839063475	1,236
1839064218	1,202
183906434X	1,14
1839065362	1,109
1839065435	1,24
1839065850	1,27
1839066377	1,4
1839067349	13,19
1839067772	1,10
1839068817	1,8
1844085171	0,131
1845355210	1,161
1845355539	1,120
1845358155	1,18266
1845358600	1,325
1845358635	1,952
1856480844	1,25
186209358X	0,2
1862302332	1,5
1864502517	0,11
1873544774	1,2
1877845175	1,89
187800218X	0,1
1881622185	1,4
1886846766	1,6
1886846774	1,5
1887840044	1,4
1888208600	1,12
1888449004	1,2
1893018067	0,7
189435320X	0,1
1894353226	0,4
1900869209	0,3
1907964177	0,1
1908983213	1,17
1908983531	1,1
1909602191	0,1526
1910132187	1,82
1910132721	1,70
191013287X	1,132
1910132896	1,124
1910458325	1,1
1911015109	0,517
1912200163	1,11
1912200201	1,20
1912743469	1,60
1912743698	1,64
1912743752	1,4
1912743930	1,10
1912803054	4,37
1912803097	4,84
1913695468	0,5163
1914568257	0,404
1916302386	1,370
1926902521	1,1
1928980821	1,146
1929854501	1,813
1933238968	1,2
1933477490	1,75
1933748680	2,22
1934251224	1,63
1935369148	1,18
1935575287	1,20
1936781832	1,243
1936781913	1,9
1936822873	1,3
1936837315	1,2
1936920360	1,22
193770243X	1,123
1937843319	0,188
1940825075	1,4
1941582176	0,9
1941582389	1,16
194181610X	1,16
1941816274	1,13
1941816800	1,5
1942487819	1,7
1944462066	0,100
1945428007	28,61
1945625937	1,406
1946178101	1,115
1946506303	1,62
1946506516	1,59
1947335375	1,22
194828524X	1,3
1949238326	0,218
1950568113	1,7
1950789306	0,144
1950789314	1,91
1950789349	0,32
195078939X	0,123
1954001088	1,108
195496904X	1,107
1956449124	0,5
197480979X	1,13
1974810550	1,7726
1974816117	1,2144
1987916085	1,4
1999951409	1,2
2363284224	1,4
2742964207	1,11
2924006066	0,12
3129081909	0,2
3453238869	1,272
