1998_5	4
1998_overall	6
1999_1	35
1999_5	256
1999_overall	440
2000_1	278
2000_5	2539
2000_overall	4754
2001_1	874
2001_5	5554
2001_overall	10697
2002_1	1113
2002_5	7317
2002_overall	14177
2003_1	1101
2003_5	6520
2003_overall	13931
2004_1	1566
2004_5	7070
2004_overall	15098
2005_1	1968
2005_5	7536
2005_overall	16427
2006_1	1998
2006_5	7114
2006_overall	16293
2007_1	2471
2007_5	13735
2007_overall	28367
2008_1	5103
2008_5	17886
2008_overall	38961
2009_1	4945
2009_5	24595
2009_overall	50241
2010_1	7466
2010_5	30389
2010_overall	63475
2011_1	10124
2011_5	44572
2011_overall	89205
2012_1	12132
2012_5	60430
2012_overall	110418
2013_1	26110
2013_5	145293
2013_overall	246127
2014_1	29172
2014_5	200774
2014_overall	319245
2015_1	39265
2015_5	264278
2015_overall	406591
2016_1	41742
2016_5	246171
2016_overall	385684
2017_1	43876
2017_5	227368
2017_overall	360615
2018_1	50276
2018_5	235610
2018_overall	375006
2019_1	52693
2019_5	295606
2019_overall	441923
2020_1	77837
2020_5	324010
2020_overall	515929
2021_1	76305
2021_5	285482
2021_overall	474285
2022_1	65627
2022_5	229431
2022_overall	394466
2023_1	27688
2023_5	106473
2023_overall	178606
